"local_site","DateTime","mmt_num","SM"
"MRS1",2018-05-09 14:00:00,1,0.0969
"MRS1",2018-05-09 14:00:00,2,0.1753
"MRS1",2018-05-09 14:00:00,3,0.0511
"MRS1",2018-05-09 14:00:00,4,0.1804
"MRS1",2018-05-09 14:00:00,5,0.2734
"MRS1",2018-05-09 15:00:00,1,0.0983
"MRS1",2018-05-09 15:00:00,2,0.1768
"MRS1",2018-05-09 15:00:00,3,0.0504
"MRS1",2018-05-09 15:00:00,4,0.2131
"MRS1",2018-05-09 15:00:00,5,0.2727
"MRS1",2018-05-09 16:00:00,1,0.0991
"MRS1",2018-05-09 16:00:00,2,0.1753
"MRS1",2018-05-09 16:00:00,3,0.0504
"MRS1",2018-05-09 16:00:00,4,0.2073
"MRS1",2018-05-09 16:00:00,5,0.2712
"MRS1",2018-05-09 17:00:00,1,0.0976
"MRS1",2018-05-09 17:00:00,2,0.1746
"MRS1",2018-05-09 17:00:00,3,0.0526
"MRS1",2018-05-09 17:00:00,4,0.1993
"MRS1",2018-05-09 17:00:00,5,0.2683
"MRS1",2018-05-09 18:00:00,1,0.0976
"MRS1",2018-05-09 18:00:00,2,0.1746
"MRS1",2018-05-09 18:00:00,3,0.0526
"MRS1",2018-05-09 18:00:00,4,0.1971
"MRS1",2018-05-09 18:00:00,5,0.2661
"MRS1",2018-05-09 19:00:00,1,0.0983
"MRS1",2018-05-09 19:00:00,2,0.1739
"MRS1",2018-05-09 19:00:00,3,0.0533
"MRS1",2018-05-09 19:00:00,4,0.1935
"MRS1",2018-05-09 19:00:00,5,0.2647
"MRS1",2018-05-09 20:00:00,1,0.0983
"MRS1",2018-05-09 20:00:00,2,0.1732
"MRS1",2018-05-09 20:00:00,3,0.0533
"MRS1",2018-05-09 20:00:00,4,0.1906
"MRS1",2018-05-09 20:00:00,5,0.2625
"MRS1",2018-05-09 21:00:00,1,0.0983
"MRS1",2018-05-09 21:00:00,2,0.1724
"MRS1",2018-05-09 21:00:00,3,0.0533
"MRS1",2018-05-09 21:00:00,4,0.1855
"MRS1",2018-05-09 21:00:00,5,0.2603
"MRS1",2018-05-09 22:00:00,1,0.0991
"MRS1",2018-05-09 22:00:00,2,0.1717
"MRS1",2018-05-09 22:00:00,3,0.0533
"MRS1",2018-05-09 22:00:00,4,0.1804
"MRS1",2018-05-09 22:00:00,5,0.2589
"MRS1",2018-05-09 23:00:00,1,0.0983
"MRS1",2018-05-09 23:00:00,2,0.1717
"MRS1",2018-05-09 23:00:00,3,0.0533
"MRS1",2018-05-09 23:00:00,4,0.1761
"MRS1",2018-05-09 23:00:00,5,0.2581
"MRS1",2018-05-10 00:00:00,1,0.0983
"MRS1",2018-05-10 00:00:00,2,0.1717
"MRS1",2018-05-10 00:00:00,3,0.0533
"MRS1",2018-05-10 00:00:00,4,0.1732
"MRS1",2018-05-10 00:00:00,5,0.2567
"MRS1",2018-05-10 01:00:00,1,0.0983
"MRS1",2018-05-10 01:00:00,2,0.171
"MRS1",2018-05-10 01:00:00,3,0.054
"MRS1",2018-05-10 01:00:00,4,0.1724
"MRS1",2018-05-10 01:00:00,5,0.2552
"MRS1",2018-05-10 02:00:00,1,0.0991
"MRS1",2018-05-10 02:00:00,2,0.171
"MRS1",2018-05-10 02:00:00,3,0.0533
