DBCODE,ENTITY,SITE,REP,LAYER,DATE,VWC
SP036,1,AR2,1,"0-30 cm",2016-08-16,0.192
SP036,1,AR2,1,"0-30 cm",2016-08-30,0.190
SP036,1,AR2,1,"0-30 cm",2016-09-24,0.219
SP036,1,AR2,1,"0-30 cm",2016-10-06,0.259
SP036,1,AR2,1,"0-30 cm",2016-10-12,0.265
SP036,1,AR2,1,"0-30 cm",2016-10-22,0.301
SP036,1,AR2,1,"0-30 cm",2017-04-28,0.325
SP036,1,AR2,1,"0-30 cm",2017-05-20,0.303
SP036,1,AR2,1,"0-30 cm",2017-06-17,0.270
SP036,1,AR2,1,"0-30 cm",2017-07-11,0.208
SP036,1,AR2,1,"0-30 cm",2017-08-03,0.194
SP036,1,AR2,1,"0-30 cm",2017-09-01,0.190
SP036,1,AR2,1,"0-30 cm",2017-09-23,0.255
SP036,1,AR2,1,"0-30 cm",2017-10-15,0.280
SP036,1,AR2,1,"30-60 cm",2016-08-16,0.313
SP036,1,AR2,1,"30-60 cm",2016-08-30,0.354
SP036,1,AR2,1,"30-60 cm",2016-09-24,0.418
SP036,1,AR2,1,"30-60 cm",2016-10-06,0.540
SP036,1,AR2,1,"30-60 cm",2016-10-12,0.508
SP036,1,AR2,1,"30-60 cm",2016-10-22,0.458
SP036,1,AR2,1,"30-60 cm",2017-04-28,0.484
SP036,1,AR2,1,"30-60 cm",2017-05-20,0.463
SP036,1,AR2,1,"30-60 cm",2017-06-17,0.467
SP036,1,AR2,1,"30-60 cm",2017-07-11,0.382
SP036,1,AR2,1,"30-60 cm",2017-08-03,0.365
SP036,1,AR2,1,"30-60 cm",2017-09-01,0.381
SP036,1,AR2,1,"30-60 cm",2017-09-23,0.514
SP036,1,AR2,1,"30-60 cm",2017-10-15,0.487
SP036,1,AR2,2,"0-30 cm",2016-08-16,0.192
SP036,1,AR2,2,"0-30 cm",2016-08-30,0.187
SP036,1,AR2,2,"0-30 cm",2016-09-24,0.215
SP036,1,AR2,2,"0-30 cm",2016-10-06,0.269
SP036,1,AR2,2,"0-30 cm",2016-10-12,0.275
SP036,1,AR2,2,"0-30 cm",2016-10-22,0.302
SP036,1,AR2,2,"0-30 cm",2017-04-28,0.329
SP036,1,AR2,2,"0-30 cm",2017-05-20,0.308
SP036,1,AR2,2,"0-30 cm",2017-06-17,0.256
SP036,1,AR2,2,"0-30 cm",2017-07-11,0.204
SP036,1,AR2,2,"0-30 cm",2017-08-03,0.192
SP036,1,AR2,2,"0-30 cm",2017-09-01,0.188
SP036,1,AR2,2,"0-30 cm",2017-09-23,0.286
SP036,1,AR2,2,"0-30 cm",2017-10-15,0.297
SP036,1,AR2,2,"30-60 cm",2016-08-16,0.211
SP036,1,AR2,2,"30-60 cm",2016-08-30,0.224
SP036,1,AR2,2,"30-60 cm",2016-09-24,0.250
SP036,1,AR2,2,"30-60 cm",2016-10-06,0.327
SP036,1,AR2,2,"30-60 cm",2016-10-12,0.315
SP036,1,AR2,2,"30-60 cm",2016-10-22,0.323
SP036,1,AR2,2,"30-60 cm",2017-04-28,0.315
SP036,1,AR2,2,"30-60 cm",2017-05-20,0.322
SP036,1,AR2,2,"30-60 cm",2017-06-17,0.320
SP036,1,AR2,2,"30-60 cm",2017-07-11,0.265
SP036,1,AR2,2,"30-60 cm",2017-08-03,0.239
SP036,1,AR2,2,"30-60 cm",2017-09-01,0.222
SP036,1,AR2,2,"30-60 cm",2017-09-23,0.311
SP036,1,AR2,2,"30-60 cm",2017-10-15,0.310
SP036,1,AR3,1,"0-30 cm",2016-08-16,0.189
SP036,1,AR3,1,"0-30 cm",2016-08-30,0.167
SP036,1,AR3,1,"0-30 cm",2016-09-24,0.211
SP036,1,AR3,1,"0-30 cm",2016-10-06,0.279
SP036,1,AR3,1,"0-30 cm",2016-10-12,0.278
SP036,1,AR3,1,"0-30 cm",2016-10-22,0.302
SP036,1,AR3,1,"0-30 cm",2017-04-28,0.320
SP036,1,AR3,1,"0-30 cm",2017-05-20,0.306
SP036,1,AR3,1,"0-30 cm",2017-06-17,0.280
SP036,1,AR3,1,"0-30 cm",2017-07-11,0.210
SP036,1,AR3,1,"0-30 cm",2017-08-03,0.188
SP036,1,AR3,1,"0-30 cm",2017-09-01,0.185
SP036,1,AR3,1,"0-30 cm",2017-09-23,0.287
SP036,1,AR3,1,"0-30 cm",2017-10-15,0.302
SP036,1,AR3,1,"30-60 cm",2016-08-16,0.166
SP036,1,AR3,1,"30-60 cm",2016-08-30,0.179
SP036,1,AR3,1,"30-60 cm",2016-09-24,0.151
SP036,1,AR3,1,"30-60 cm",2016-10-06,0.124
SP036,1,AR3,1,"30-60 cm",2016-10-12,0.172
SP036,1,AR3,1,"30-60 cm",2016-10-22,0.242
SP036,1,AR3,1,"30-60 cm",2017-04-28,0.260
SP036,1,AR3,1,"30-60 cm",2017-05-20,0.243
SP036,1,AR3,1,"30-60 cm",2017-06-17,0.214
SP036,1,AR3,1,"30-60 cm",2017-07-11,0.190
SP036,1,AR3,1,"30-60 cm",2017-08-03,0.174
SP036,1,AR3,1,"30-60 cm",2017-09-01,0.161
SP036,1,AR3,1,"30-60 cm",2017-09-23,0.178
SP036,1,AR3,1,"30-60 cm",2017-10-15,0.237
SP036,1,AR3,2,"0-30 cm",2016-08-16,0.165
SP036,1,AR3,2,"0-30 cm",2016-08-30,0.163
SP036,1,AR3,2,"0-30 cm",2016-09-24,0.191
SP036,1,AR3,2,"0-30 cm",2016-10-06,0.248
SP036,1,AR3,2,"0-30 cm",2016-10-12,0.251
SP036,1,AR3,2,"0-30 cm",2016-10-22,0.283
SP036,1,AR3,2,"0-30 cm",2017-04-28,0.302
SP036,1,AR3,2,"0-30 cm",2017-05-20,0.277
SP036,1,AR3,2,"0-30 cm",2017-06-17,0.260
SP036,1,AR3,2,"0-30 cm",2017-07-11,0.193
SP036,1,AR3,2,"0-30 cm",2017-08-03,0.169
SP036,1,AR3,2,"0-30 cm",2017-09-01,0.167
SP036,1,AR3,2,"0-30 cm",2017-09-23,0.246
SP036,1,AR3,2,"0-30 cm",2017-10-15,0.269
SP036,1,AR3,2,"30-60 cm",2016-08-16,0.328
SP036,1,AR3,2,"30-60 cm",2016-08-30,0.224
SP036,1,AR3,2,"30-60 cm",2016-09-24,0.295
SP036,1,AR3,2,"30-60 cm",2016-10-06,0.340
SP036,1,AR3,2,"30-60 cm",2016-10-12,0.325
SP036,1,AR3,2,"30-60 cm",2016-10-22,0.334
SP036,1,AR3,2,"30-60 cm",2017-04-28,0.349
SP036,1,AR3,2,"30-60 cm",2017-05-20,0.336
SP036,1,AR3,2,"30-60 cm",2017-06-17,0.313
SP036,1,AR3,2,"30-60 cm",2017-07-11,0.270
SP036,1,AR3,2,"30-60 cm",2017-08-03,0.317
SP036,1,AR3,2,"30-60 cm",2017-09-01,0.312
SP036,1,AR3,2,"30-60 cm",2017-09-23,0.329
SP036,1,AR3,2,"30-60 cm",2017-10-15,0.333
SP036,1,CR1,1,"0-30 cm",2016-08-16,0.172
SP036,1,CR1,1,"0-30 cm",2016-08-30,0.128
SP036,1,CR1,1,"0-30 cm",2016-09-24,0.197
SP036,1,CR1,1,"0-30 cm",2016-10-06,0.271
SP036,1,CR1,1,"0-30 cm",2016-10-12,0.251
SP036,1,CR1,1,"0-30 cm",2016-10-22,0.270
SP036,1,CR1,1,"0-30 cm",2017-04-28,0.295
SP036,1,CR1,1,"0-30 cm",2017-05-20,0.271
SP036,1,CR1,1,"0-30 cm",2017-06-17,0.266
SP036,1,CR1,1,"0-30 cm",2017-07-11,0.201
SP036,1,CR1,1,"0-30 cm",2017-08-03,0.159
SP036,1,CR1,1,"0-30 cm",2017-09-01,0.139
SP036,1,CR1,1,"0-30 cm",2017-09-23,0.251
SP036,1,CR1,1,"0-30 cm",2017-10-15,0.266
SP036,1,CR1,1,"30-60 cm",2016-08-16,0.286
SP036,1,CR1,1,"30-60 cm",2016-08-30,0.250
SP036,1,CR1,1,"30-60 cm",2016-09-24,0.229
SP036,1,CR1,1,"30-60 cm",2016-10-06,0.266
SP036,1,CR1,1,"30-60 cm",2016-10-12,0.322
SP036,1,CR1,1,"30-60 cm",2016-10-22,0.352
SP036,1,CR1,1,"30-60 cm",2017-04-28,0.329
SP036,1,CR1,1,"30-60 cm",2017-05-20,0.321
SP036,1,CR1,1,"30-60 cm",2017-06-17,0.345
SP036,1,CR1,1,"30-60 cm",2017-07-11,0.339
SP036,1,CR1,1,"30-60 cm",2017-08-03,0.295
SP036,1,CR1,1,"30-60 cm",2017-09-01,0.257
SP036,1,CR1,1,"30-60 cm",2017-09-23,0.293
SP036,1,CR1,1,"30-60 cm",2017-10-15,0.325
SP036,1,CR1,2,"0-30 cm",2016-08-16,0.165
SP036,1,CR1,2,"0-30 cm",2016-08-30,0.142
SP036,1,CR1,2,"0-30 cm",2016-09-24,0.186
SP036,1,CR1,2,"0-30 cm",2016-10-06,0.235
SP036,1,CR1,2,"0-30 cm",2016-10-12,0.232
SP036,1,CR1,2,"0-30 cm",2016-10-22,0.251
SP036,1,CR1,2,"0-30 cm",2017-04-28,0.276
SP036,1,CR1,2,"0-30 cm",2017-05-20,0.249
SP036,1,CR1,2,"0-30 cm",2017-06-17,0.235
SP036,1,CR1,2,"0-30 cm",2017-07-11,0.181
SP036,1,CR1,2,"0-30 cm",2017-08-03,0.168
SP036,1,CR1,2,"0-30 cm",2017-09-01,0.163
SP036,1,CR1,2,"0-30 cm",2017-09-23,0.238
SP036,1,CR1,2,"0-30 cm",2017-10-15,0.252
SP036,1,CR1,2,"30-60 cm",2016-08-16,0.189
SP036,1,CR1,2,"30-60 cm",2016-08-30,0.179
SP036,1,CR1,2,"30-60 cm",2016-09-24,0.205
SP036,1,CR1,2,"30-60 cm",2016-10-06,0.275
SP036,1,CR1,2,"30-60 cm",2016-10-12,0.284
SP036,1,CR1,2,"30-60 cm",2016-10-22,0.304
SP036,1,CR1,2,"30-60 cm",2017-04-28,0.308
SP036,1,CR1,2,"30-60 cm",2017-05-20,0.294
SP036,1,CR1,2,"30-60 cm",2017-06-17,0.272
SP036,1,CR1,2,"30-60 cm",2017-07-11,0.214
SP036,1,CR1,2,"30-60 cm",2017-08-03,0.188
SP036,1,CR1,2,"30-60 cm",2017-09-01,0.182
SP036,1,CR1,2,"30-60 cm",2017-09-23,0.289
SP036,1,CR1,2,"30-60 cm",2017-10-15,0.292
SP036,1,CR2,1,"0-30 cm",2016-08-16,0.175
SP036,1,CR2,1,"0-30 cm",2016-08-30,0.160
SP036,1,CR2,1,"0-30 cm",2016-09-24,0.211
SP036,1,CR2,1,"0-30 cm",2016-10-06,0.274
SP036,1,CR2,1,"0-30 cm",2016-10-12,0.267
SP036,1,CR2,1,"0-30 cm",2016-10-22,0.285
SP036,1,CR2,1,"0-30 cm",2017-04-28,0.299
SP036,1,CR2,1,"0-30 cm",2017-05-20,0.281
SP036,1,CR2,1,"0-30 cm",2017-06-17,0.277
SP036,1,CR2,1,"0-30 cm",2017-07-11,0.188
SP036,1,CR2,1,"0-30 cm",2017-08-03,0.175
SP036,1,CR2,1,"0-30 cm",2017-09-01,0.171
SP036,1,CR2,1,"0-30 cm",2017-09-23,0.271
SP036,1,CR2,1,"0-30 cm",2017-10-15,0.278
SP036,1,CR2,1,"30-60 cm",2016-08-16,0.182
SP036,1,CR2,1,"30-60 cm",2016-08-30,0.166
SP036,1,CR2,1,"30-60 cm",2016-09-24,0.149
SP036,1,CR2,1,"30-60 cm",2016-10-06,0.145
SP036,1,CR2,1,"30-60 cm",2016-10-12,0.185
SP036,1,CR2,1,"30-60 cm",2016-10-22,0.360
SP036,1,CR2,1,"30-60 cm",2017-04-28,0.368
SP036,1,CR2,1,"30-60 cm",2017-05-20,0.353
SP036,1,CR2,1,"30-60 cm",2017-06-17,0.250
SP036,1,CR2,1,"30-60 cm",2017-07-11,0.223
SP036,1,CR2,1,"30-60 cm",2017-08-03,0.192
SP036,1,CR2,1,"30-60 cm",2017-09-01,0.184
SP036,1,CR2,1,"30-60 cm",2017-09-23,0.311
SP036,1,CR2,1,"30-60 cm",2017-10-15,0.340
SP036,1,CR2,2,"0-30 cm",2016-08-16,0.171
SP036,1,CR2,2,"0-30 cm",2016-08-30,0.146
SP036,1,CR2,2,"0-30 cm",2016-09-24,0.206
SP036,1,CR2,2,"0-30 cm",2016-10-06,0.268
SP036,1,CR2,2,"0-30 cm",2016-10-12,0.250
SP036,1,CR2,2,"0-30 cm",2016-10-22,0.289
SP036,1,CR2,2,"0-30 cm",2017-04-28,0.304
SP036,1,CR2,2,"0-30 cm",2017-05-20,0.283
SP036,1,CR2,2,"0-30 cm",2017-06-17,0.223
SP036,1,CR2,2,"0-30 cm",2017-07-11,0.186
SP036,1,CR2,2,"0-30 cm",2017-08-03,0.176
SP036,1,CR2,2,"0-30 cm",2017-09-01,0.172
SP036,1,CR2,2,"0-30 cm",2017-09-23,0.262
SP036,1,CR2,2,"0-30 cm",2017-10-15,0.273
SP036,1,CR2,2,"30-60 cm",2016-08-16,0.174
SP036,1,CR2,2,"30-60 cm",2016-08-30,0.174
SP036,1,CR2,2,"30-60 cm",2016-09-24,0.144
SP036,1,CR2,2,"30-60 cm",2016-10-06,0.106
SP036,1,CR2,2,"30-60 cm",2016-10-12,0.135
SP036,1,CR2,2,"30-60 cm",2016-10-22,0.231
SP036,1,CR2,2,"30-60 cm",2017-04-28,0.229
SP036,1,CR2,2,"30-60 cm",2017-05-20,0.227
SP036,1,CR2,2,"30-60 cm",2017-06-17,0.207
SP036,1,CR2,2,"30-60 cm",2017-07-11,0.191
SP036,1,CR2,2,"30-60 cm",2017-08-03,0.183
SP036,1,CR2,2,"30-60 cm",2017-09-01,0.175
SP036,1,CR2,2,"30-60 cm",2017-09-23,0.230
SP036,1,CR2,2,"30-60 cm",2017-10-15,0.238
SP036,1,CR3,1,"0-30 cm",2016-08-16,0.181
SP036,1,CR3,1,"0-30 cm",2016-08-30,0.162
SP036,1,CR3,1,"0-30 cm",2016-09-24,0.224
SP036,1,CR3,1,"0-30 cm",2016-10-06,0.290
SP036,1,CR3,1,"0-30 cm",2016-10-12,0.268
SP036,1,CR3,1,"0-30 cm",2016-10-22,0.285
SP036,1,CR3,1,"0-30 cm",2017-04-28,0.311
SP036,1,CR3,1,"0-30 cm",2017-05-20,0.288
SP036,1,CR3,1,"0-30 cm",2017-06-17,0.287
SP036,1,CR3,1,"0-30 cm",2017-07-11,0.201
SP036,1,CR3,1,"0-30 cm",2017-08-03,0.185
SP036,1,CR3,1,"0-30 cm",2017-09-01,0.181
SP036,1,CR3,1,"0-30 cm",2017-09-23,0.280
SP036,1,CR3,1,"0-30 cm",2017-10-15,0.288
SP036,1,CR3,1,"30-60 cm",2016-08-16,0.210
SP036,1,CR3,1,"30-60 cm",2016-08-30,0.219
SP036,1,CR3,1,"30-60 cm",2016-09-24,0.193
SP036,1,CR3,1,"30-60 cm",2016-10-06,0.193
SP036,1,CR3,1,"30-60 cm",2016-10-12,0.277
SP036,1,CR3,1,"30-60 cm",2016-10-22,0.334
SP036,1,CR3,1,"30-60 cm",2017-04-28,0.310
SP036,1,CR3,1,"30-60 cm",2017-05-20,0.309
SP036,1,CR3,1,"30-60 cm",2017-06-17,0.281
SP036,1,CR3,1,"30-60 cm",2017-07-11,0.257
SP036,1,CR3,1,"30-60 cm",2017-08-03,0.221
SP036,1,CR3,1,"30-60 cm",2017-09-01,0.209
SP036,1,CR3,1,"30-60 cm",2017-09-23,0.305
SP036,1,CR3,1,"30-60 cm",2017-10-15,0.311
