DBCODE,ENTITY,SITE,DEPTH,BULK_DENSITY,COARSE,SAND,SILT,CLAY,VWC_FC,VWC_TURGORLOSS,KSAT
SP036,2,AR3,15cm,1.01,75.96,13.61,54.08,32.31,0.17,0.13,306.8
SP036,2,AR3,45cm,0.92,80.27,19.04,48.70,32.26,0.18,0.11,509.0
SP036,2,CR3,15cm,1.15,70.39,4.80,50.11,45.09,0.18,0.11,383.0
SP036,2,CR3,45cm,1.15,59.49,13.32,50.30,36.38,0.19,0.12,46.6
SP036,2,DH0,15cm,1.06,80.33,13.71,56.95,29.34,0.17,0.11,467.0
SP036,2,DH0,45cm,1.06,60.22,8.37,50.70,40.93,0.20,0.15,91.7
SP036,2,ER3,15cm,1.01,52.84,14.04,48.81,37.15,0.21,0.16,193.5
SP036,2,ER3,45cm,1.08,60.07,12.45,47.23,40.32,0.20,0.15,151.4
SP036,2,FZ2,15cm,1.10,77.74,13.19,55.20,31.61,0.16,0.10,245.3
SP036,2,FZ2,45cm,1.08,76.34,10.43,52.14,37.43,0.19,0.12,241.9
SP036,2,GR3,15cm,1.04,56.67,26.20,43.54,30.26,0.20,0.14,183.1
SP036,2,GR3,45cm,1.08,63.69,14.02,49.16,36.82,0.25,0.15,269.9
SP036,2,HH1,15cm,1.00,67.65,18.52,48.76,32.72,0.16,0.11,329.1
SP036,2,HH1,45cm,1.09,66.57,9.55,54.47,35.98,0.19,0.12,152.1
SP036,2,HH4,15cm,1.01,59.48,5.73,54.35,39.92,0.22,0.11,102.3
SP036,2,HH4,45cm,1.10,70.28,22.49,47.49,30.02,0.19,0.10,148.8
SP036,2,JH1,15cm,1.04,68.26,18.30,52.04,29.66,0.17,0.11,248.3
SP036,2,JH1,45cm,1.21,64.47,19.31,47.40,33.29,0.21,0.10,48.4
SP036,2,LH4,15cm,1.19,76.11,13.33,47.30,39.37,0.16,0.11,126.3
SP036,2,LH4,45cm,1.29,76.62,12.83,45.91,41.26,0.19,0.14,458.6
SP036,2,LZ1,15cm,0.92,56.06,6.79,52.53,40.68,0.24,0.16,168.5
SP036,2,LZ1,45cm,0.88,46.09,9.19,51.48,39.33,0.23,0.15,287.8
SP036,2,LZ5,15cm,0.95,44.81,1.96,54.86,43.18,0.30,0.18,75.9
SP036,2,LZ5,45cm,0.96,44.23,7.58,49.99,42.43,0.27,0.21,224.3
SP036,2,MZ1,15cm,0.92,49.52,9.22,51.59,39.19,0.25,0.17,259.4
SP036,2,MZ1,45cm,0.99,35.67,9.88,51.48,38.64,0.29,0.18,266.6
